accepted_writes,avg_convergence_time,avg_judge_latency,avg_read_latency,avg_stale_version_gap,avg_visibility_lag,avg_write_latency,bus_latency,cache_hit_rate,cache_hits,cache_misses,conflict_checks,contested_ratio,contested_writes,deterministic_profile,duration,fallback_count,invalidations,judge,judge_mode,judge_provider_breakdown,llm_failure_categories,max_stale_version_gap,monotonic_read_violations,num_agents,num_artifacts,operations,p95_stale_version_gap,protocol,read_latency_p50,read_latency_p95,read_latency_p99,read_your_writes_checks,read_your_writes_success_rate,read_your_writes_successes,reason_code_counts,regime,run_error,run_status,scale,seed,stale_read_rate,stale_reads,sync_requests,total_events,write_latency_p50,write_latency_p95,write_latency_p99
0,4.6,,2.1818181818181817,1.3333333333333333,12.0,12.0,1,0.6060606060606061,20,13,9,0.0,0,latest,40,0,0,deterministic_latest,deterministic,"{""deterministic"": 9}",{},2,3,3,4,42,1.0,eventual,1.0,4.0,4.0,7,0.5714285714285714,4,"{""lower_confidence_than_accepted"": 4, ""no_contradiction"": 5}",medium,,ok,small,17,0.09090909090909091,3,0,93,12.0,12.0,12.0
0,8.5,,2.0,1.5,12.0,12.0,1,0.6666666666666666,32,16,11,0.0,0,latest,40,0,0,deterministic_latest,deterministic,"{""deterministic"": 11}",{},2,3,3,4,59,2.0,eventual,1.0,4.0,4.0,7,0.2857142857142857,2,"{""lower_confidence_than_accepted"": 4, ""no_contradiction"": 7}",medium,,ok,small,29,0.08333333333333333,4,0,129,12.0,12.0,12.0
0,16.09090909090909,,2.369565217391304,1.0,12.0,12.0,1,0.5434782608695652,25,21,9,0.0,0,latest,65,0,0,deterministic_latest,deterministic,"{""deterministic"": 9}",{},1,0,5,7,55,1.0,eventual,1.0,4.0,4.0,7,0.7142857142857143,5,"{""lower_confidence_than_accepted"": 4, ""no_contradiction"": 5}",medium,,ok,medium,7,0.17391304347826086,8,0,119,12.0,12.0,12.0
0,10.71875,,2.1538461538461537,2.1666666666666665,12.0,12.0,1,0.6153846153846154,32,20,17,0.0,0,latest,65,0,0,deterministic_latest,deterministic,"{""deterministic"": 17}",{},5,0,5,7,69,5.0,eventual,1.0,4.0,4.0,14,0.5714285714285714,8,"{""lower_confidence_than_accepted"": 7, ""no_contradiction"": 10}",medium,,ok,medium,17,0.23076923076923078,12,0,155,12.0,12.0,12.0
0,12.944444444444445,,2.125,1.9166666666666667,12.0,12.0,1,0.625,30,18,14,0.0,0,latest,65,0,0,deterministic_latest,deterministic,"{""deterministic"": 14}",{},5,1,5,7,62,3.0,eventual,1.0,4.0,4.0,9,0.7777777777777778,7,"{""lower_confidence_than_accepted"": 5, ""no_contradiction"": 9}",medium,,ok,medium,29,0.25,12,0,138,12.0,12.0,12.0
0,15.222222222222221,,2.0636363636363635,1.9534883720930232,12.0,12.0,1,0.6454545454545455,71,39,40,0.0,0,latest,90,0,0,deterministic_latest,deterministic,"{""deterministic"": 40}",{},6,2,8,12,150,4.0,eventual,1.0,4.0,4.0,30,0.7333333333333333,22,"{""lower_confidence_than_accepted"": 10, ""no_contradiction"": 30}",medium,,ok,large,7,0.39090909090909093,43,0,340,12.0,12.0,12.0
0,31.70967741935484,,2.2972972972972974,2.4642857142857144,12.0,12.0,1,0.5675675675675675,42,32,33,0.0,0,latest,90,0,0,deterministic_latest,deterministic,"{""deterministic"": 33}",{},8,0,8,12,107,6.0,eventual,1.0,4.0,4.0,19,0.7894736842105263,15,"{""lower_confidence_than_accepted"": 12, ""no_contradiction"": 21}",medium,,ok,large,17,0.3783783783783784,28,0,247,12.0,12.0,12.0
0,22.725490196078432,,2.3333333333333335,1.2857142857142858,12.0,12.0,1,0.5555555555555556,55,44,26,0.0,0,latest,90,0,0,deterministic_latest,deterministic,"{""deterministic"": 26}",{},2,1,8,12,125,2.0,eventual,1.0,4.0,4.0,12,0.75,9,"{""lower_confidence_than_accepted"": 8, ""no_contradiction"": 18}",medium,,ok,large,29,0.2828282828282828,28,0,276,12.0,12.0,12.0
0,7.3,,1.7826086956521738,2.6666666666666665,12.0,12.0,1,0.7391304347826086,34,12,27,0.0,0,latest,40,0,0,deterministic_latest,deterministic,"{""deterministic"": 27}",{},5,4,3,4,73,4.0,eventual,1.0,4.0,4.0,23,0.21739130434782608,5,"{""lower_confidence_than_accepted"": 19, ""no_contradiction"": 8}",high,,ok,small,7,0.13043478260869565,6,0,173,12.0,12.0,12.0
0,6.7727272727272725,,1.4191176470588236,2.75,12.0,12.0,1,0.8602941176470589,117,19,73,0.0,0,latest,40,0,0,deterministic_latest,deterministic,"{""deterministic"": 73}",{},8,15,3,4,209,6.0,eventual,1.0,4.0,4.0,69,0.2463768115942029,17,"{""lower_confidence_than_accepted"": 12, ""no_contradiction"": 61}",high,,ok,small,17,0.20588235294117646,28,0,491,12.0,12.0,12.0
0,6.5588235294117645,,1.5901639344262295,3.2333333333333334,12.0,12.0,1,0.8032786885245902,98,24,56,0.0,0,latest,40,0,0,deterministic_latest,deterministic,"{""deterministic"": 56}",{},8,10,3,4,178,7.0,eventual,1.0,4.0,4.0,54,0.2037037037037037,11,"{""lower_confidence_than_accepted"": 16, ""no_contradiction"": 40}",high,,ok,small,29,0.2459016393442623,30,0,412,12.0,12.0,12.0
0,8.843243243243244,,1.4111675126903553,2.5324675324675323,12.0,12.0,1,0.8629441624365483,170,27,86,0.0,0,latest,65,0,0,deterministic_latest,deterministic,"{""deterministic"": 86}",{},8,12,5,7,283,8.0,eventual,1.0,4.0,4.0,74,0.28378378378378377,21,"{""lower_confidence_than_accepted"": 22, ""no_contradiction"": 64}",high,,ok,medium,7,0.39086294416243655,77,0,652,12.0,12.0,12.0
0,10.082051282051282,,1.5294117647058822,2.784090909090909,12.0,12.0,1,0.8235294117647058,140,30,90,0.0,0,latest,65,0,0,deterministic_latest,deterministic,"{""deterministic"": 90}",{},9,11,5,7,260,6.0,eventual,1.0,4.0,4.0,78,0.34615384615384615,27,"{""lower_confidence_than_accepted"": 11, ""no_contradiction"": 79}",high,,ok,medium,17,0.5176470588235295,88,0,610,12.0,12.0,12.0
0,10.569230769230769,,1.8695652173913044,2.260869565217391,12.0,12.0,1,0.7101449275362319,49,20,49,0.0,0,latest,65,0,0,deterministic_latest,deterministic,"{""deterministic"": 49}",{},5,4,5,7,118,5.0,eventual,1.0,4.0,4.0,34,0.6470588235294118,22,"{""lower_confidence_than_accepted"": 8, ""no_contradiction"": 41}",high,,ok,medium,29,0.3333333333333333,23,0,285,12.0,12.0,12.0
0,9.369973190348526,,1.5613496932515338,3.8402777777777777,12.0,12.0,1,0.8128834355828221,265,61,160,0.0,0,latest,90,0,0,deterministic_latest,deterministic,"{""deterministic"": 160}",{},11,18,8,12,486,9.0,eventual,1.0,4.0,4.0,132,0.36363636363636365,48,"{""lower_confidence_than_accepted"": 37, ""no_contradiction"": 123}",high,,ok,large,7,0.44171779141104295,144,0,1132,12.0,12.0,12.0
0,15.995502248875562,,1.6,2.593220338983051,12.0,12.0,1,0.8,252,63,170,0.0,0,latest,90,0,0,deterministic_latest,deterministic,"{""deterministic"": 170}",{},15,17,8,12,485,7.0,eventual,1.0,4.0,4.0,135,0.37037037037037035,50,"{""lower_confidence_than_accepted"": 17, ""no_contradiction"": 153}",high,,ok,large,17,0.3746031746031746,118,0,1140,12.0,12.0,12.0
0,15.398576512455517,,1.6486486486486487,2.7790697674418605,12.0,12.0,1,0.7837837837837838,174,48,117,0.0,0,latest,90,0,0,deterministic_latest,deterministic,"{""deterministic"": 117}",{},15,6,8,12,339,6.0,eventual,1.0,4.0,4.0,86,0.5465116279069767,47,"{""lower_confidence_than_accepted"": 15, ""no_contradiction"": 102}",high,,ok,large,29,0.38738738738738737,86,0,795,12.0,12.0,12.0
2,3.5,,2.8333333333333335,2.0,1.5,1.5,1,0.25,3,9,0,0.0,0,latest,40,0,0,deterministic_latest,deterministic,{},{},2,0,3,4,14,2.0,mesi,2.0,5.0,5.0,1,0.0,0,{},low,,ok,small,7,0.08333333333333333,1,0,30,1.0,2.0,2.0
2,4.75,,3.5833333333333335,1.5,1.8,1.8,2,0.25,3,9,0,0.0,0,latest,40,0,0,deterministic_latest,deterministic,{},{},2,0,3,4,14,1.0,mesi,3.0,6.0,6.0,1,0.0,0,{},low,,ok,small,7,0.16666666666666666,2,0,31,1.0,3.0,3.0
2,5.25,,5.416666666666667,1.5,3.0,3.0,4,0.16666666666666666,2,10,0,0.0,0,latest,40,0,0,deterministic_latest,deterministic,{},{},2,0,3,4,14,1.0,mesi,5.0,8.0,8.0,1,0.0,0,{},low,,ok,small,7,0.16666666666666666,2,0,30,1.0,5.0,5.0
5,7.0,,2.272727272727273,1.0,1.625,1.625,1,0.4090909090909091,9,13,0,0.0,0,latest,40,0,0,deterministic_latest,deterministic,{},{},1,2,3,4,27,1.0,mesi,2.0,5.0,5.0,3,0.3333333333333333,1,{},low,,ok,small,17,0.045454545454545456,1,0,57,2.0,2.0,2.0
5,0.0,,3.272727272727273,1.0,2.3333333333333335,2.3333333333333335,2,0.3181818181818182,7,15,0,0.0,0,latest,40,0,0,deterministic_latest,deterministic,{},{},1,1,3,4,27,1.0,mesi,3.0,6.0,6.0,3,0.3333333333333333,1,{},low,,ok,small,17,0.045454545454545456,1,0,55,3.0,3.0,3.0
5,0.0,,4.545454545454546,1.0,3.6666666666666665,3.6666666666666665,4,0.3181818181818182,7,15,0,0.0,0,latest,40,0,0,deterministic_latest,deterministic,{},{},1,1,3,4,27,1.0,mesi,5.0,8.0,8.0,3,0.3333333333333333,1,{},low,,ok,small,17,0.045454545454545456,1,0,55,5.0,5.0,5.0
2,16.0,,2.875,1.0,1.5,1.5,1,0.25,2,6,0,0.0,0,latest,40,0,0,deterministic_latest,deterministic,{},{},1,0,3,4,10,1.0,mesi,2.0,5.0,5.0,1,1.0,1,{},low,,ok,small,29,0.25,2,0,22,1.0,2.0,2.0
2,16.333333333333332,,3.625,1.0,2.0,2.0,2,0.25,2,6,0,0.0,0,latest,40,0,0,deterministic_latest,deterministic,{},{},1,0,3,4,10,1.0,mesi,3.0,6.0,6.0,1,1.0,1,{},low,,ok,small,29,0.25,2,0,22,1.0,3.0,3.0
2,17.0,,5.125,1.0,3.0,3.0,4,0.25,2,6,0,0.0,0,latest,40,0,0,deterministic_latest,deterministic,{},{},1,0,3,4,10,1.0,mesi,5.0,8.0,8.0,1,1.0,1,{},low,,ok,small,29,0.25,2,0,22,1.0,5.0,5.0
3,14.461538461538462,,2.9565217391304346,1.5,1.5,1.5,1,0.2608695652173913,6,17,0,0.0,0,latest,65,0,0,deterministic_latest,deterministic,{},{},2,0,5,7,26,1.0,mesi,2.0,5.0,5.0,3,0.6666666666666666,2,{},low,,ok,medium,7,0.08695652173913043,2,0,55,1.0,2.0,2.0
3,17.076923076923077,,3.782608695652174,1.3333333333333333,1.8571428571428572,1.8571428571428572,2,0.21739130434782608,5,18,0,0.0,0,latest,65,0,0,deterministic_latest,deterministic,{},{},2,0,5,7,26,1.0,mesi,3.0,6.0,6.0,3,0.6666666666666666,2,{},low,,ok,medium,7,0.13043478260869565,3,0,56,1.0,3.0,3.0
3,16.0,,5.0,1.3333333333333333,3.0,3.0,4,0.30434782608695654,7,16,0,0.0,0,latest,65,0,0,deterministic_latest,deterministic,{},{},2,0,5,7,26,1.0,mesi,5.0,8.0,8.0,3,0.6666666666666666,2,{},low,,ok,medium,7,0.13043478260869565,3,0,55,1.0,5.0,5.0
3,10.666666666666666,,2.4,2.0,1.6,1.6,1,0.44,11,14,0,0.0,0,latest,65,0,0,deterministic_latest,deterministic,{},{},2,1,5,7,28,2.0,mesi,2.0,5.0,5.0,1,1.0,1,{},low,,ok,medium,17,0.04,1,0,58,2.0,2.0,2.0
3,0.0,,3.36,2.0,2.5,2.5,2,0.36,9,16,0,0.0,0,latest,65,0,0,deterministic_latest,deterministic,{},{},2,0,5,7,28,2.0,mesi,3.0,6.0,6.0,1,0.0,0,{},low,,ok,medium,17,0.04,1,0,57,3.0,3.0,3.0
